Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
agdal,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(200.0,)"
2007,120 000 - 129 999,Hyundai,Accent,6 CV,"Voitures, Offre",Diesel,"(60000.0,)"
1991,20 000 - 24 999,Renault,19,7 CV,autre_secteur,Diesel,"(43000.0,)"
2010,80 000 - 84 999,Mercedes-Benz,AMG GT,36 CV,bourgogne,Essence,"(265000.0,)"
agdal,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(800.0,)"
2007,200 000 - 249 999,Mercedes-Benz,220,9 CV,"Voitures, Offre",Diesel,"(68000.0,)"
6,"100 m²
","Maisons et Villas, Offre","
","
Sauvegarder l'annonce
","
",yacoub_el_mansour,"(2100000.0,)"
2009,150 000 - 159 999,Dacia,Logan,6 CV,"Voitures, Offre",Essence,"(49000.0,)"
2014,90 000 - 94 999,Ford,Kuga,8 CV,maarif,Diesel,"(225000.0,)"
1987,60 000 - 64 999,Jaguar,Sovreign,"Voitures, Offre","
",Essence,"(25000.0,)"
2015,100 000 - 109 999,Peugeot,308,"Voitures, Offre","
",Diesel,"(85000.0,)"
6,"120 m²
","Maisons et Villas, Offre","
","
Sauvegarder l'annonce
","
",branes_2,"(3350000.0,)"
2009,90 000 - 94 999,Renault,Laguna,ain_chock,"Voitures, Offre",Essence,"(53000.0,)"
2006,140 000 - 149 999,Renault,Scenic,6 CV,ain_chock,Diesel,"(nan,)"
2014,10 000 - 14 999,Volkswagen,GOLF 6,8 CV,"Voitures, Offre",Diesel,"(12500.0,)"
2012,80 000 - 84 999,Peugeot,Bipper,6 CV,ain_chock,Diesel,"(57000.0,)"
2014,50 000 - 54 999,Ford,Fiesta,"Voitures, Offre","
",Diesel,"(105000.0,)"
2,"90 m²
","Locations de vacances, Offre de location","
","
Sauvegarder l'annonce
","
",hivernage,"(600.0,)"
2008,15 000 - 19 999,Hyundai,Tucson,ben_ejdia,"Voitures, Offre",Diesel,"(78000.0,)"
2017,65 000 - 69 999,Dacia,Duster,6 CV,hay_mohammadi,Diesel,"(118000.0,)"
2009,250 000 - 299 999,Audi,A5,11 CV,hay_riad,Diesel,"(nan,)"
2,"96 m²
","Appartements, Offre","
","
Sauvegarder l'annonce
","
",toute_la_ville,"(550000.0,)"
2016,40 000 - 44 999,Opel,ADAM,autre_secteur,"Voitures, Offre",Essence,"(nan,)"
2017,65 000 - 69 999,Renault,Clio,6 CV,"Voitures, Offre",Diesel,"(nan,)"
2006,45 000 - 49 999,Dacia,Logan,6 CV,centre_ville,Diesel,"(60000.0,)"
2017,5 000 - 9 999,Hyundai,Grand i10,6 CV,"Voitures, Offre",Essence,"(88000.0,)"
2017,65 000 - 69 999,Renault,Clio,6 CV,hay_izdihar,Diesel,"(118000.0,)"
2011,140 000 - 149 999,Volkswagen,Passat,8 CV,autre_secteur,Diesel,"(120000.0,)"
2014,35 000 - 39 999,Peugeot,3008,7 CV,anfa,Diesel,"(135000.0,)"
2014,90 000 - 94 999,Audi,A4,7 CV,ouled_oujih,Diesel,"(210000.0,)"
2017,40 000 - 44 999,Land Rover,Range Rover Sport,12 CV,belvedere,Diesel,"(nan,)"
2007,160 000 - 169 999,Honda,CR-V,9 CV,sidi_maarouf,Diesel,"(98000.0,)"
2006,170 000 - 179 999,Land Rover,Range Rover,"Voitures, Offre","
",Diesel,"(150000.0,)"
2010,45 000 - 49 999,Mercedes-Benz,Classe CLS,17 CV,maarif,Essence,"(148000.0,)"
2006,180 000 - 189 999,Dacia,Logan,"Voitures, Offre","
",Diesel,"(53000.0,)"
2014,85 000 - 89 999,Volkswagen,Touareg,12 CV,ain_chock,Diesel,"(nan,)"
2013,140 000 - 149 999,Peugeot,308,6 CV,sidi_maarouf,Diesel,"(99000.0,)"
2012,170 000 - 179 999,Volkswagen,Caddy,"Voitures, Offre","
",Diesel,"(94000.0,)"
2010,20 000 - 24 999,Subaru,Legacy,ain_sebaa,"Voitures, Offre",Diesel,"(68000.0,)"
2017,30 000 - 34 999,Mercedes-Benz,Classe E,8 CV,hay_riad,Diesel,"(nan,)"
2007,160 000 - 169 999,Dacia,Logan,8 CV,"Voitures, Offre",Essence,"(nan,)"
2011,200 000 - 249 999,Renault,Kangoo,6 CV,"Voitures, Offre",Diesel,"(64000.0,)"
ben_serguaou,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Accessoires informatique et Gadgets, Offre","(nan,)"
3,"60 m²
","Appartements, Offre de location","
","
Sauvegarder l'annonce
","
",targa,"(3400.0,)"
annakhil,"-
","
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Voitures, Offre","(nan,)"
2012,75 000 - 79 999,mini,CLUBMAN,6 CV,centre,Diesel,"(190000.0,)"
2013,90 000 - 94 999,Mitsubishi,L200,oulfa,"Voitures, Offre",Diesel,"(nan,)"
2012,100 000 - 109 999,Audi,A5,11 CV,anfa,Essence,"(155000.0,)"
2012,110 000 - 119 999,Peugeot,308,6 CV,"Voitures, Offre",Diesel,"(nan,)"
2017,70 000 - 74 999,BMW,Serie 5,8 CV,maarif,Diesel,"(495000.0,)"
2011,15 000 - 19 999,Peugeot,Tepee,ain_chock,"Voitures, Offre",Diesel,"(nan,)"
2009,150 000 - 159 999,Renault,Megane,6 CV,"Voitures, Offre",Essence,"(60000.0,)"
2012,140 000 - 149 999,Dacia,Logan,6 CV,centre_ville,Diesel,"(65000.0,)"
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(249.0,)"
2015,160 000 - 169 999,Volkswagen,Touareg,11 CV,hay_dakhla,Diesel,"(225000.0,)"
2003,140 000 - 149 999,Fiat,Palio,6 CV,"Voitures, Offre",Essence,"(28000.0,)"
1998,200 000 - 249 999,Hyundai,Accent,9 CV,sidi_youssef_ben_ali,Essence,"(22000.0,)"
2014,95 000 - 99 999,Jeep,Grand Cherokee,12 CV,hay_riad,Diesel,"(237000.0,)"
2009,170 000 - 179 999,Toyota,Yaris,5 CV,"Voitures, Offre",Essence,"(60000.0,)"
2016,85 000 - 89 999,Hyundai,i 10,6 CV,"Voitures, Offre",Essence,"(68000.0,)"
2014,250 000 - 299 999,Fiat,Doblo,5 CV,zone_industrielle_sidi_ghanem,Diesel,"(78000.0,)"
2005,160 000 - 169 999,Mercedes-Benz,Classe B,centre_ville,"Voitures, Offre",Diesel,"(104000.0,)"
2007,160 000 - 169 999,Audi,A3,8 CV,al_kodia,Diesel,"(107000.0,)"
2015,70 000 - 74 999,Renault,Megane,6 CV,hay_riad,Diesel,"(138000.0,)"
2014,80 000 - 84 999,BMW,X1,4 CV,belvedere,Diesel,"(nan,)"
1999,35 000 - 39 999,Renault,R19,8 CV,"Voitures, Offre",Essence,"(nan,)"
2009,75 000 - 79 999,Land Rover,Freelander,15 CV,yacoub_el_mansour,Essence,"(nan,)"
2015,85 000 - 89 999,Hyundai,Accent,6 CV,centre,Diesel,"(nan,)"
2013,80 000 - 84 999,Mercedes-Benz,Classe E,9 CV,yacoub_el_mansour,Diesel,"(nan,)"
1992,200 000 - 249 999,Volkswagen,Jetta,toute_la_ville,"Voitures, Offre",Diesel,"(50000.0,)"
2017,50 000 - 54 999,Renault,Megane,6 CV,"Voitures, Offre",Diesel,"(nan,)"
2006,20 000 - 24 999,Toyota,Prado,cap_spartel,"Voitures, Offre",Diesel,"(nan,)"
2013,130 000 - 139 999,Renault,Kangoo,ain_chock,"Voitures, Offre",Diesel,"(nan,)"
2017,55 000 - 59 999,Renault,Clio,6 CV,centre,Diesel,"(nan,)"
2006,200 000 - 249 999,Volkswagen,GOLF 5,9 CV,maarif,Diesel,"(85000.0,)"
2011,160 000 - 169 999,Seat,Exeo,8 CV,"Voitures, Offre",Diesel,"(100000.0,)"
2011,160 000 - 169 999,Hyundai,ix 35,8 CV,ain_chock,Diesel,"(129000.0,)"
2015,95 000 - 99 999,Ford,Kuga,8 CV,route_dimmouzere,Diesel,"(165000.0,)"
2015,65 000 - 69 999,Porsche,other,12 CV,maarif,Diesel,"(nan,)"
2016,90 000 - 94 999,Skoda,Yeti,"Voitures, Offre","
",Diesel,"(157000.0,)"
2007,160 000 - 169 999,Citroen,C3,agdal,"Voitures, Offre",Diesel,"(64000.0,)"
2004,200 000 - 249 999,Mercedes-Benz,CLASSE ML,centre_ville,"Voitures, Offre",Diesel,"(70000.0,)"
2018,10 000 - 14 999,Nissan,Qashqai,6 CV,bernoussi,Diesel,"(2080000.0,)"
2013,200 000 - 249 999,Audi,A6,"Voitures, Offre","
",Diesel,"(225000.0,)"
2010,140 000 - 149 999,Dacia,Logan,6 CV,roches_noires,Diesel,"(60000.0,)"
2005,60 000 - 64 999,Volkswagen,Touareg,10 CV,hay_essaada,Diesel,"(nan,)"
1997,45 000 - 49 999,Renault,Megane,7 CV,"Voitures, Offre",Diesel,"(42000.0,)"
2006,160 000 - 169 999,Renault,Clio,6 CV,iberie,Essence,"(nan,)"
2017,40 000 - 44 999,Porsche,other,12 CV,belvedere,Diesel,"(nan,)"
2011,150 000 - 159 999,Audi,Q5,8 CV,yacoub_el_mansour,Diesel,"(nan,)"
2016,60 000 - 64 999,Volkswagen,GOLF 7,ain_chock,"Voitures, Offre",Diesel,"(nan,)"
2012,180 000 - 189 999,Volkswagen,Touareg,12 CV,ain_sebaa,Diesel,"(165000.0,)"
2016,75 000 - 79 999,Hyundai,Accent,6 CV,hay_mohammadi,Diesel,"(116000.0,)"
1996,250 000 - 299 999,Mitsubishi,pajero,11 CV,yacoub_el_mansour,Diesel,"(100000.0,)"
2016,70 000 - 74 999,Hyundai,Accent,6 CV,toute_la_ville,Diesel,"(85000.0,)"
2008,190 000 - 199 999,Volkswagen,GOLF 5,8 CV,mimosas,Diesel,"(88000.0,)"
1988,10 000 - 14 999,Volkswagen,GOLF 2,6 CV,"Voitures, Offre",Diesel,"(40000.0,)"
2017,55 000 - 59 999,Ford,Focus,6 CV,najd,Diesel,"(75000.0,)"
2001,0 - 4 999,Opel,Astra,7 CV,"Voitures, Offre",Diesel,"(63000.0,)"
2007,190 000 - 199 999,Peugeot,307,hay_el_fath,"Voitures, Offre",Diesel,"(70000.0,)"
2015,120 000 - 129 999,Audi,A7,"Voitures, Offre","
",Diesel,"(450000.0,)"
derb_omar,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Pièces et Accessoires pour véhicules, Offre","(nan,)"
2009,140 000 - 149 999,Renault,Scenic,6 CV,"Voitures, Offre",Diesel,"(77000.0,)"
2012,10 000 - 14 999,Mercedes-Benz,250,10 CV,anfa,Essence,"(210000.0,)"
2006,160 000 - 169 999,Jaguar,X-Type,centre_ville,"Voitures, Offre",Essence,"(75000.0,)"
2008,75 000 - 79 999,Hyundai,Santa Fe,ben_msick,"Voitures, Offre",Diesel,"(75000.0,)"
2000,400 000 - 449 999,Peugeot,206,6 CV,"Voitures, Offre",Essence,"(32000.0,)"
2005,350 000 - 399 999,Mercedes-Benz,Classe C,9 CV,autre_secteur,Diesel,"(125000.0,)"
2017,90 000 - 94 999,Renault,Kangoo,6 CV,oued_fes,Diesel,"(128000.0,)"
3,"-
","Maisons et Villas, Offre de location","
","
Sauvegarder l'annonce
","
",palmeraie,"(12000.0,)"
2012,130 000 - 139 999,Porsche,Panamera,11 CV,"Voitures, Offre",Diesel,"(360000.0,)"
2009,20 000 - 24 999,Mercedes-Benz,190,10 CV,"Voitures, Offre",Diesel,"(6800.0,)"
2013,100 000 - 109 999,Mercedes-Benz,Classe E,12 CV,yacoub_el_mansour,Diesel,"(nan,)"
2007,30 000 - 34 999,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Motos, Offre","(55000.0,)"
2015,80 000 - 84 999,Citroen,C3,6 CV,"Voitures, Offre",Diesel,"(93000.0,)"
2015,80 000 - 84 999,Land Rover,Range Rover Sport,12 CV,belvedere,Diesel,"(nan,)"
2013,95 000 - 99 999,Volkswagen,Passat,"Voitures, Offre","
",Diesel,"(nan,)"
2014,85 000 - 89 999,Land Rover,Range Rover Sport,belvedere,"Voitures, Offre",Diesel,"(nan,)"
2015,100 000 - 109 999,Renault,Clio,"Voitures, Offre","
",Diesel,"(105000.0,)"
4,"250 m²
","Maisons et Villas, Offre de location","
","
Sauvegarder l'annonce
","
",route_de_casablanca,"(8500.0,)"
1985,45 000 - 49 999,Peugeot,205,5 CV,hay_el_andalous,Essence,"(nan,)"
1,"-
","Locations de vacances, Offre de location","
","
Sauvegarder l'annonce
","
",targa,"(350.0,)"
2005,190 000 - 199 999,Kia,Sorento,"Voitures, Offre","
",Diesel,"(nan,)"
2009,120 000 - 129 999,Kia,Picanto,6 CV,"Voitures, Offre",Essence,"(53000.0,)"
2012,120 000 - 129 999,Volkswagen,Touran,8 CV,saies,Diesel,"(205000.0,)"
2019,5 000 - 9 999,Mercedes-Benz,Classe GLC,9 CV,"Voitures, Offre",Diesel,"(420000.0,)"
2002,170 000 - 179 999,Peugeot,406,autre_secteur,"Voitures, Offre",Diesel,"(45000.0,)"
2011,200 000 - 249 999,Renault,Latitude,8 CV,hay_dakhla,Diesel,"(105000.0,)"
2018,10 000 - 14 999,Volkswagen,GOLF 7,8 CV,hay_dakhla,Diesel,"(200000.0,)"
2013,100 000 - 109 999,Dacia,Dokker,6 CV,hay_mohammadi,Diesel,"(65000.0,)"
2016,60 000 - 64 999,Hyundai,Accent,2_mars,"Voitures, Offre",Diesel,"(nan,)"
hassan,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Accessoires informatique et Gadgets, Offre","(nan,)"
1999,160 000 - 169 999,Peugeot,406,guich_oudaya,"Voitures, Offre",Essence,"(28000.0,)"
2011,120 000 - 129 999,Land Rover,Range Rover,20 CV,yacoub_el_mansour,Essence,"(nan,)"
2009,180 000 - 189 999,Seat,Leon,"Voitures, Offre","
",Essence,"(nan,)"
2015,90 000 - 94 999,Dacia,Logan,6 CV,centre,Diesel,"(86000.0,)"
2007,200 000 - 249 999,Citroen,Berlingo,7 CV,"Voitures, Offre",Diesel,"(55000.0,)"
2016,100 000 - 109 999,Volkswagen,PASSAT CC,8 CV,"Voitures, Offre",Diesel,"(216000.0,)"
2011,150 000 - 159 999,Dacia,Logan,autre_secteur,"Voitures, Offre",Diesel,"(59000.0,)"
2006,180 000 - 189 999,Mercedes-Benz,CLASSE ML,12 CV,yacoub_el_mansour,Diesel,"(128000.0,)"
1997,140 000 - 149 999,Nissan,Sunny,"Voitures, Offre","
",Essence,"(16000.0,)"
2016,35 000 - 39 999,Ford,Fiesta,6 CV,toute_la_ville,Diesel,"(75000.0,)"
2010,100 000 - 109 999,Mercedes-Benz,Classe C,quartier_des_hopitaux,"Voitures, Offre",Diesel,"(nan,)"
2006,150 000 - 159 999,Peugeot,207,8 CV,"Voitures, Offre",Essence,"(560000.0,)"
1997,140 000 - 149 999,Mercedes-Benz,220,9 CV,belvedere,Diesel,"(80000.0,)"
5,"230 m²
","Appartements, Offre","
","
Sauvegarder l'annonce
","
",autre_secteur,"(nan,)"
2010,190 000 - 199 999,Mercedes-Benz,Classe E,12 CV,yacoub_el_mansour,Diesel,"(nan,)"
hassan,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Pièces et Accessoires pour véhicules, Offre","(nan,)"
2012,95 000 - 99 999,Peugeot,Tepee,ain_chock,"Voitures, Offre",Diesel,"(nan,)"
2016,70 000 - 74 999,Dacia,Dokker,6 CV,bernoussi,Diesel,"(88000.0,)"
2018,10 000 - 14 999,Toyota,Corolla,5 CV,talborjt,Diesel,"(185000.0,)"
2011,200 000 - 249 999,Mercedes-Benz,220,"Voitures, Offre","
",Diesel,"(95000.0,)"
2016,50 000 - 54 999,Peugeot,508,8 CV,ain_sebaa,Diesel,"(182000.0,)"
2016,70 000 - 74 999,Hyundai,Accent,6 CV,hay_mohammadi,Diesel,"(116000.0,)"
2006,190 000 - 199 999,BMW,Serie 5,12 CV,"Voitures, Offre",Essence,"(64000.0,)"
2013,180 000 - 189 999,Fiat,Ducato,5 CV,sidi_maarouf,Diesel,"(75000.0,)"
2018,5 000 - 9 999,Renault,Clio,6 CV,yacoub_el_mansour,Diesel,"(135000.0,)"
2011,90 000 - 94 999,Hyundai,i 30,belvedere,"Voitures, Offre",Essence,"(85000.0,)"
2014,85 000 - 89 999,Renault,Clio,autre_secteur,"Voitures, Offre",Diesel,"(nan,)"
2000,160 000 - 169 999,Renault,Megane,ain_sebaa,"Voitures, Offre",Diesel,"(47000.0,)"
2005,190 000 - 199 999,Toyota,RAV 4,8 CV,centre_ville,Diesel,"(88000.0,)"
3,"70 m²
","Appartements, Offre","
","
Sauvegarder l'annonce
","
",oulfa,"(580000.0,)"
2012,95 000 - 99 999,Citroen,Berlingo,wilaya,"Voitures, Offre",Diesel,"(118000.0,)"
al_mandar_al_jamil,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Pièces et Accessoires pour véhicules, Offre","(nan,)"
1992,20 000 - 24 999,Mercedes-Benz,408,el_bassatine,"Voitures, Offre",Diesel,"(137000.0,)"
5,"2000 m²
","Maisons et Villas, Offre de location","
","
Sauvegarder l'annonce
","
",souissi,"(45000.0,)"
2016,65 000 - 69 999,Maserati,other,12 CV,belvedere,Diesel,"(nan,)"
2016,70 000 - 74 999,Fiat,Doblo,5 CV,bernoussi,Diesel,"(88000.0,)"
2009,200 000 - 249 999,Peugeot,Tepee,bouargane,"Voitures, Offre",Diesel,"(92000.0,)"
2013,100 000 - 109 999,Renault,Clio,6 CV,"Voitures, Offre",Diesel,"(104000.0,)"
2011,15 000 - 19 999,Volkswagen,GOLF 6,8 CV,"Voitures, Offre",Diesel,"(180000.0,)"
6,"800 m²
","Maisons et Villas, Offre de location","
","
Sauvegarder l'annonce
","
",targa,"(23500.0,)"
2010,0 - 4 999,BMW,X1,8 CV,ain_chock,Diesel,"(nan,)"
2010,150 000 - 159 999,Volkswagen,Passat,8 CV,iberie,Diesel,"(115000.0,)"
2007,100 000 - 109 999,Dacia,Logan,8 CV,lissasfa,Essence,"(nan,)"
1988,200 000 - 249 999,Volkswagen,GOLF 2,6 CV,"Voitures, Offre",Diesel,"(30000.0,)"
2017,70 000 - 74 999,Renault,Clio,6 CV,"Voitures, Offre",Diesel,"(132000.0,)"
2009,90 000 - 94 999,mini,one,autre_secteur,"Voitures, Offre",Essence,"(nan,)"
2013,140 000 - 149 999,Hyundai,Santa Fe,9 CV,saies,Diesel,"(192000.0,)"
2009,150 000 - 159 999,Dacia,Logan,6 CV,"Voitures, Offre",Essence,"(48000.0,)"
2008,250 000 - 299 999,Kia,Picanto,toute_la_ville,"Voitures, Offre",Essence,"(43000.0,)"
2015,70 000 - 74 999,Peugeot,Bipper,6 CV,autre_secteur,Diesel,"(88000.0,)"
2014,160 000 - 169 999,Land Rover,Range Rover Evoque,centre_ville,"Voitures, Offre",Diesel,"(330000.0,)"
2016,130 000 - 139 999,Skoda,Octavia,6 CV,hay_zaytoun,Diesel,"(nan,)"
2016,40 000 - 44 999,Peugeot,208,autre_secteur,"Voitures, Offre",Diesel,"(nan,)"
2008,180 000 - 189 999,Renault,Modus,guich_oudaya,"Voitures, Offre",Diesel,"(68000.0,)"
2015,75 000 - 79 999,Ford,Fiesta,6 CV,hay_zaytoun,Diesel,"(nan,)"
1985,25 000 - 29 999,Peugeot,205,toute_la_ville,"Voitures, Offre",Diesel,"(nan,)"
2014,100 000 - 109 999,Dacia,Duster,6 CV,hay_mohammadi,Diesel,"(102000.0,)"
1992,350 000 - 399 999,Renault,19,route_ain_chkaf,"Voitures, Offre",Diesel,"(43000.0,)"
2018,30 000 - 34 999,Mercedes-Benz,Classe GLA,hay_mohammadi,"Voitures, Offre",Diesel,"(nan,)"
2006,120 000 - 129 999,Mercedes-Benz,Classe S,20 CV,yacoub_el_mansour,Essence,"(nan,)"
2015,100 000 - 109 999,Peugeot,208,ain_chock,"Voitures, Offre",Diesel,"(95000.0,)"
2010,150 000 - 159 999,Porsche,Cayenne,belvedere,"Voitures, Offre",Diesel,"(nan,)"
2015,80 000 - 84 999,Mercedes-Benz,Classe A,belvedere,"Voitures, Offre",Diesel,"(nan,)"
2006,450 000 - 499 999,BMW,X5,12 CV,"Voitures, Offre",Diesel,"(88000.0,)"
2013,160 000 - 169 999,Volkswagen,GOLF 7,"Voitures, Offre","
",Diesel,"(178000.0,)"
2005,40 000 - 44 999,Renault,Kangoo,toute_la_ville,"Voitures, Offre",Diesel,"(70000.0,)"
2017,40 000 - 44 999,Land Rover,Range Rover Sport,12 CV,belvedere,Diesel,"(nan,)"
2013,55 000 - 59 999,Renault,Clio,"Voitures, Offre","
",Essence,"(nan,)"
2017,45 000 - 49 999,Mercedes-Benz,Classe GLC,9 CV,hay_riad,Diesel,"(nan,)"
2013,120 000 - 129 999,Alfa Romeo,Giulietta,6 CV,"Voitures, Offre",Diesel,"(130000.0,)"
2016,15 000 - 19 999,Nissan,Qashqai,6 CV,lissasfa,Diesel,"(nan,)"
1985,90 000 - 94 999,Peugeot,205,7 CV,wislane,Diesel,"(32000.0,)"
2007,0 - 4 999,Audi,A3,oulfa,"Voitures, Offre",Diesel,"(97000.0,)"
2016,45 000 - 49 999,Ford,Focus,ain_sebaa,"Voitures, Offre",Diesel,"(143000.0,)"
2013,80 000 - 84 999,Ford,Kuga,hivernage,"Voitures, Offre",Diesel,"(150000.0,)"
2009,200 000 - 249 999,Mercedes-Benz,Classe C,autre_secteur,"Voitures, Offre",Diesel,"(150000.0,)"
2017,55 000 - 59 999,Land Rover,Range Rover Evoque,derb_ghallef,"Voitures, Offre",Diesel,"(nan,)"
2003,20 000 - 24 999,Volkswagen,GOLF 4,8 CV,yacoub_el_mansour,Diesel,"(90000.0,)"
1995,110 000 - 119 999,Daewoo,Lanos,9 CV,"Voitures, Offre",Essence,"(23000.0,)"
2012,120 000 - 129 999,Peugeot,508,8 CV,belvedere,Diesel,"(nan,)"
2012,25 000 - 29 999,Mercedes-Benz,Classe E,12 CV,yacoub_el_mansour,Diesel,"(nan,)"
4,"1500 m²
","Maisons et Villas, Offre de location","
","
Sauvegarder l'annonce
","
",souissi,"(35000.0,)"
1997,Plus de 500 000,Ford,ESCORT,9 CV,"Voitures, Offre",Essence,"(12000.0,)"
2000,85 000 - 89 999,Fiat,Palio,6 CV,sidi_hajji,Diesel,"(35000.0,)"
2004,200 000 - 249 999,Kia,Sorento,10 CV,"Voitures, Offre",Diesel,"(nan,)"
2008,160 000 - 169 999,Opel,Corsa,"Voitures, Offre","
",Essence,"(nan,)"
2015,70 000 - 74 999,Peugeot,301,6 CV,belvedere,Diesel,"(nan,)"
2002,25 000 - 29 999,Alfa Romeo,147,8 CV,"Voitures, Offre",Essence,"(32000.0,)"
2010,170 000 - 179 999,Dacia,Logan,guich_oudaya,"Voitures, Offre",Diesel,"(58000.0,)"
2015,90 000 - 94 999,Peugeot,301,6 CV,belvedere,Diesel,"(nan,)"
2016,80 000 - 84 999,Nissan,Qashqai,6 CV,sidi_maarouf,Diesel,"(nan,)"
2008,140 000 - 149 999,Volkswagen,Passat,11 CV,"Voitures, Offre",Essence,"(72000.0,)"
2014,100 000 - 109 999,Audi,A4,8 CV,massira,Diesel,"(215000.0,)"
derb_omar,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Pièces et Accessoires pour véhicules, Offre","(45.0,)"
2018,20 000 - 24 999,Dacia,Dokker,6 CV,"Voitures, Offre",Diesel,"(110000.0,)"
1988,190 000 - 199 999,Renault,R8,12 CV,"Voitures, Offre",Essence,"(27000.0,)"
2015,100 000 - 109 999,Honda,Accord,9 CV,massira,Diesel,"(175000.0,)"
2015,70 000 - 74 999,Fiat,Punto,5 CV,"Voitures, Offre",Diesel,"(87000.0,)"
2014,5 000 - 9 999,Dacia,Sandero,6 CV,sidi_bernoussi,Diesel,"(nan,)"
autre_secteur,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Accessoires informatique et Gadgets, Offre","(300.0,)"
2015,80 000 - 84 999,Ford,Focus,6 CV,massira,Diesel,"(155000.0,)"
2013,85 000 - 89 999,Jaguar,XF,belvedere,"Voitures, Offre",Diesel,"(nan,)"
2011,160 000 - 169 999,Mercedes-Benz,220,9 CV,sidi_maarouf,Diesel,"(195000.0,)"
2015,100 000 - 109 999,Mercedes-Benz,Classe E,9 CV,massira,Diesel,"(265000.0,)"
2008,70 000 - 74 999,Toyota,Yaris,6 CV,"Voitures, Offre",Essence,"(70000.0,)"
2014,60 000 - 64 999,Skoda,RAPID,6 CV,"Voitures, Offre",Diesel,"(120000.0,)"
2015,140 000 - 149 999,Hyundai,ix 35,7 CV,autre_secteur,Diesel,"(195000.0,)"
2013,90 000 - 94 999,Peugeot,5008,6 CV,massira,Diesel,"(119000.0,)"
2001,200 000 - 249 999,Toyota,Yaris,7 CV,"Voitures, Offre",Essence,"(45000.0,)"
2014,95 000 - 99 999,Audi,A3,7 CV,yacoub_el_mansour,Diesel,"(nan,)"
2015,70 000 - 74 999,Audi,A3,6 CV,massira,Diesel,"(209000.0,)"
2008,190 000 - 199 999,Volkswagen,Touran,8 CV,"Voitures, Offre",Diesel,"(130000.0,)"
2015,110 000 - 119 999,Citroen,C4,6 CV,"Voitures, Offre",Diesel,"(114000.0,)"
2008,110 000 - 119 999,Ssangyong,Actyon,guich_oudaya,"Voitures, Offre",Diesel,"(65000.0,)"
1989,250 000 - 299 999,Volkswagen,GOLF 2,6 CV,autre_secteur,Diesel,"(30000.0,)"
2014,110 000 - 119 999,Peugeot,308,6 CV,massira,Diesel,"(119000.0,)"
2006,10 000 - 14 999,Mercedes-Benz,Classe B,8 CV,toute_la_ville,Essence,"(74000.0,)"
2016,95 000 - 99 999,Land Rover,Range Rover Evoque,8 CV,ain_diab,Diesel,"(nan,)"
2014,80 000 - 84 999,Dacia,Sandero,6 CV,"Voitures, Offre",Diesel,"(82000.0,)"
2006,170 000 - 179 999,Fiat,Palio,6 CV,"Voitures, Offre",Essence,"(35000.0,)"
2012,100 000 - 109 999,Hyundai,ix 35,8 CV,hay_dakhla,Diesel,"(155000.0,)"
1991,120 000 - 129 999,Fiat,Uno,lissasfa,"Voitures, Offre",Essence,"(23000.0,)"
2006,250 000 - 299 999,Volkswagen,Passat,8 CV,iziki,Diesel,"(nan,)"
2014,140 000 - 149 999,Renault,Megane,ain_sebaa,"Voitures, Offre",Diesel,"(nan,)"
2012,150 000 - 159 999,Dacia,Duster,hay_hana,"Voitures, Offre",Diesel,"(99000.0,)"
2010,200 000 - 249 999,Hyundai,Santa Fe,8 CV,"Voitures, Offre",Diesel,"(78000.0,)"
2017,55 000 - 59 999,Land Rover,Range Rover Evoque,9 CV,maarif,Diesel,"(315000.0,)"
2013,110 000 - 119 999,Alfa Romeo,147,8 CV,"Voitures, Offre",Diesel,"(75000.0,)"
1995,200 000 - 249 999,Renault,19,"Voitures, Offre","
",Essence,"(32000.0,)"
1999,190 000 - 199 999,Mercedes-Benz,Classe C,10 CV,autre_secteur,Diesel,"(65000.0,)"
2014,65 000 - 69 999,Dacia,Duster,6 CV,hay_zaytoun,Diesel,"(nan,)"
toute_la_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Art et Collections, Offre","(90.0,)"
2015,120 000 - 129 999,Alfa Romeo,Giulietta,8 CV,ain_sebaa,Diesel,"(nan,)"
2015,85 000 - 89 999,Jeep,Grand Cherokee,belvedere,"Voitures, Offre",Diesel,"(nan,)"
2008,20 000 - 24 999,Audi,A4,targa,"Voitures, Offre",Diesel,"(140000.0,)"
2011,120 000 - 129 999,Land Rover,Range Rover Sport,belvedere,"Voitures, Offre",Diesel,"(nan,)"
