Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
2007,0 - 4 999,Dacia,Logan,hamria,"Voitures, Offre",Diesel,"(54000.0,)"
2012,75 000 - 79 999,Ford,Fiesta,6 CV,les_orangers,Diesel,"(99000.0,)"
2009,170 000 - 179 999,Citroen,C3,agdal,"Voitures, Offre",Diesel,"(68000.0,)"
2009,130 000 - 139 999,BMW,Serie 3,8 CV,gauthier,Diesel,"(190000.0,)"
2011,140 000 - 149 999,Hyundai,ix 35,8 CV,2_mars,Diesel,"(135000.0,)"
2011,15 000 - 19 999,Peugeot,Partner,ben_msick,"Voitures, Offre",Diesel,"(60000.0,)"
2009,140 000 - 149 999,Renault,Kangoo,6 CV,"Voitures, Offre",Diesel,"(92000.0,)"
2014,90 000 - 94 999,Renault,Clio,hay_hassani,"Voitures, Offre",Essence,"(59000.0,)"
2000,15 000 - 19 999,Fiat,Palio,7 CV,"Voitures, Offre",Diesel,"(33000.0,)"
2004,20 000 - 24 999,Renault,Laguna,6 CV,bernoussi,Diesel,"(58000.0,)"
1993,120 000 - 129 999,Renault,SUPER 5,sidi_maarouf,"Voitures, Offre",Essence,"(19000.0,)"
2014,90 000 - 94 999,Peugeot,508,6 CV,centre_ville,Diesel,"(nan,)"
2019,0 - 4 999,Mercedes-Benz,Classe A,wilaya,"Voitures, Offre",Diesel,"(nan,)"
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(1499.0,)"
2016,60 000 - 64 999,Fiat,500,"Voitures, Offre","
",Essence,"(nan,)"
2014,120 000 - 129 999,Ford,C-Max,6 CV,"Voitures, Offre",Diesel,"(133000.0,)"
2015,50 000 - 54 999,Hyundai,i 30,ain_chock,"Voitures, Offre",Diesel,"(150000.0,)"
2016,60 000 - 64 999,Citroen,C5,8 CV,centre_ville,Diesel,"(139000.0,)"
1999,350 000 - 399 999,Fiat,Palio,tabriquet,"Voitures, Offre",Diesel,"(30000.0,)"
2005,200 000 - 249 999,Audi,A4,9 CV,"Voitures, Offre",Diesel,"(nan,)"
2008,160 000 - 169 999,Kia,Picanto,6 CV,marjane,Essence,"(nan,)"
2014,100 000 - 109 999,Hyundai,i 30,7 CV,"Voitures, Offre",Diesel,"(90000.0,)"
2016,0 - 4 999,Skoda,Octavia,8 CV,"Voitures, Offre",Diesel,"(168000.0,)"
2011,45 000 - 49 999,Peugeot,206+,6 CV,autre_secteur,Diesel,"(nan,)"
2016,130 000 - 139 999,Chevrolet,Captiva,8 CV,sidi_maarouf,Diesel,"(159000.0,)"
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(249.0,)"
2017,5 000 - 9 999,Mercedes-Benz,Classe C,8 CV,belvedere,Diesel,"(nan,)"
2010,160 000 - 169 999,Mercedes-Benz,Classe B,8 CV,hay_riad,Diesel,"(120000.0,)"
2007,190 000 - 199 999,Dacia,Logan,6 CV,"Voitures, Offre",Diesel,"(52000.0,)"
2016,80 000 - 84 999,Dacia,Dokker,6 CV,autre_secteur,Diesel,"(125000.0,)"
agdal,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Pièces et Accessoires pour véhicules, Offre","(400.0,)"
2015,45 000 - 49 999,Ford,Fiesta,"Voitures, Offre","
",Diesel,"(110000.0,)"
2012,80 000 - 84 999,Volkswagen,Polo,"Voitures, Offre","
",Essence,"(85000.0,)"
2013,120 000 - 129 999,Dacia,Logan,6 CV,"Voitures, Offre",Diesel,"(70000.0,)"
2007,190 000 - 199 999,Infiniti,FX35,"Voitures, Offre","
",Essence,"(nan,)"
2008,150 000 - 159 999,Volkswagen,Tiguan,8 CV,"Voitures, Offre",Diesel,"(160000.0,)"
2010,190 000 - 199 999,Ford,Kuga,7 CV,ouled_oujih,Diesel,"(130000.0,)"
1999,160 000 - 169 999,Fiat,Siena,hay_mohammadi,"Voitures, Offre",Essence,"(30000.0,)"
2016,85 000 - 89 999,Hyundai,i 10,"Voitures, Offre","
",Essence,"(nan,)"
2000,10 000 - 14 999,Land Rover,Defender,9 CV,"Voitures, Offre",Diesel,"(nan,)"
2012,100 000 - 109 999,Peugeot,207,6 CV,"Voitures, Offre",Diesel,"(nan,)"
2008,120 000 - 129 999,Chevrolet,Aveo,lkhiam,"Voitures, Offre",Essence,"(43000.0,)"
2015,95 000 - 99 999,Hyundai,Elantra,6 CV,hay_riad,Diesel,"(137000.0,)"
2016,35 000 - 39 999,Peugeot,208,6 CV,zone_industrielle_saniat_sbihi,Diesel,"(102000.0,)"
2016,60 000 - 64 999,Audi,A6,8 CV,les_princesses,Diesel,"(nan,)"
2012,85 000 - 89 999,Citroen,Berlingo,centre_ville,"Voitures, Offre",Diesel,"(110000.0,)"
anfa,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(200.0,)"
2013,90 000 - 94 999,Renault,Kangoo,6 CV,toute_la_ville,Diesel,"(nan,)"
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(3999.0,)"
2006,180 000 - 189 999,Toyota,Corolla verso,8 CV,bournazil,Diesel,"(65000.0,)"
2008,100 000 - 109 999,Peugeot,407,11 CV,route_de_casablanca,Essence,"(45000.0,)"
2015,55 000 - 59 999,Skoda,RAPID,6 CV,"Voitures, Offre",Diesel,"(140000.0,)"
