prix,Ann,Kilomtrage,TypeDeCarburant,Marque,Modele,Puissance fiscale,type
75000.0,1999,170 000 - 179 999,Diesel,Mercedes-Benz,250,toute_la_ville,"Voitures, Offre"
78000.0,2013,190 000 - 199 999,Diesel,Fiat,Doblo,hay_al_amal,"Voitures, Offre"
nan,2018,20 000 - 24 999,Essence,Audi,RS3,derb_ghallef,"Voitures, Offre"
44000.0,1994,190 000 - 199 999,Diesel,Volkswagen,GOLF 3,"Voitures, Offre","
"
90000.0,2010,200 000 - 249 999,Diesel,Renault,Laguna,8 CV,"Voitures, Offre"
176000.0,2012,130 000 - 139 999,Diesel,Jeep,Grand Cherokee,12 CV,"Voitures, Offre"
91000.0,2016,80 000 - 84 999,Diesel,Fiat,Doblo,5 CV,centre_ville
18000.0,1987,350 000 - 399 999,Essence,Renault,SUPER 5,6 CV,al_amal
190000.0,2012,85 000 - 89 999,Diesel,BMW,Serie 3,autre_secteur,"Voitures, Offre"
99000.0,2016,60 000 - 64 999,Diesel,Fiat,500,5 CV,autre_secteur
310000.0,2014,70 000 - 74 999,Diesel,Audi,A3,8 CV,"Voitures, Offre"
nan,2011,80 000 - 84 999,Diesel,Mercedes-Benz,Classe S,belvedere,"Voitures, Offre"
nan,2019,0 - 4 999,Diesel,Volkswagen,Polo,6 CV,moujahidine
nan,2016,65 000 - 69 999,Diesel,Hyundai,i 30,6 CV,sidi_maarouf
31000.0,2001,200 000 - 249 999,Essence,Fiat,Siena,"Voitures, Offre","
"
85000.0,2013,160 000 - 169 999,Diesel,Renault,Kangoo,6 CV,"Voitures, Offre"
95000.0,2001,200 000 - 249 999,Diesel,Mercedes-Benz,220,8 CV,beni_makada_lakdima
nan,2012,85 000 - 89 999,Diesel,BMW,Serie 3,"Voitures, Offre","
"
95000.0,2014,55 000 - 59 999,Diesel,Renault,Logan,6 CV,"Voitures, Offre"
nan,2019,0 - 4 999,Diesel,Mercedes-Benz,Classe GLC,9 CV,ain_chock
33000.0,2009,100 000 - 109 999,Essence,Chery,QQ,5 CV,"Voitures, Offre"
174000.0,2015,85 000 - 89 999,Diesel,Volkswagen,Golf,ain_sebaa,"Voitures, Offre"
26000.0,1994,250 000 - 299 999,Essence,Opel,Corsa,7 CV,"Voitures, Offre"
88000.0,2016,85 000 - 89 999,Essence,Ford,Fiesta,6 CV,ahammar
160000.0,2013,100 000 - 109 999,Diesel,Hyundai,i 40,7 CV,"Voitures, Offre"
nan,2015,30 000 - 34 999,Diesel,Audi,Q7,12 CV,quartier_des_hopitaux
70000.0,2005,150 000 - 159 999,Essence,Volkswagen,COCCINELLE,11 CV,hay_dakhla
nan,2019,0 - 4 999,Essence,Volkswagen,Polo,wilaya,"Voitures, Offre"
190000.0,2016,100 000 - 109 999,Diesel,Peugeot,508,8 CV,"Voitures, Offre"
110000.0,2006,200 000 - 249 999,Diesel,Volkswagen,GOLF 5,8 CV,centre_ville
27000.0,2001,20 000 - 24 999,Diesel,Fiat,Uno,saies,"Voitures, Offre"
65000.0,2016,60 000 - 64 999,Diesel,Dacia,Logan,7 CV,la_cigogne
87000.0,2017,40 000 - 44 999,Diesel,Dacia,Logan,sidi_bernoussi,"Voitures, Offre"
