Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
2007,200 000 - 249 999,Toyota,RAV 4,9 CV,medina,Diesel,"([],)"
2008,200 000 - 249 999,Volkswagen,Passat,8 CV,"Voitures, Offre",Diesel,"(['118000', '118', '000', '118000', '118', '000'],)"
2014,180 000 - 189 999,Skoda,RAPID,6 CV,hay_dakhla,Diesel,"(['120000', '120', '000', '120000', '120', '000'],)"
1997,5 000 - 9 999,Citroen,C15,7 CV,"Voitures, Offre",Diesel,"(['35000', '35', '000', '35000', '35', '000'],)"
2014,130 000 - 139 999,Fiat,Punto,6 CV,"Voitures, Offre",Diesel,"(['68000', '68', '000', '68000', '68', '000'],)"
2,"-
","Appartements, Offre de location","
","
Sauvegarder l'annonce
","
",jemaa_el_fna,"([],)"
2013,70 000 - 74 999,Nissan,Juke,"Voitures, Offre","
",Diesel,"([],)"
2006,150 000 - 159 999,Kia,Picanto,6 CV,"Voitures, Offre",Essence,"(['47000', '47', '000', '47000', '47', '000'],)"
2017,15 000 - 19 999,Volkswagen,Golf,8 CV,anfa,Diesel,"([],)"
2016,150 000 - 159 999,Volkswagen,Touran,"Voitures, Offre","
 ",Diesel,"([],)"
2017,15 000 - 19 999,Nissan,Juke,6 CV,hay_hassani,Diesel,"(['198000', '198', '000', '198000', '198', '000'],)"
hay_el_fath,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Meubles et Décoration, Offre","(['110', '110', '110', '110'],)"
maarif,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Business et Affaires commerciales, Offre","(['1200000', '1', '200', '000', '1200000', '1', '200', '000'],)"
2012,100 000 - 109 999,BMW,X5,12 CV,centre,Diesel,"(['250000', '250', '000', '250000', '250', '000'],)"
2011,95 000 - 99 999,Peugeot,206+,6 CV,"Voitures, Offre",Essence,"(['58000', '58', '000', '58000', '58', '000'],)"
2014,200 000 - 249 999,Volkswagen,Amarok,8 CV,route_dagadir__essaouira,Diesel,"([],)"
2015,60 000 - 64 999,Hyundai,i 30,7 CV,val_fleuri,Diesel,"([],)"
2006,200 000 - 249 999,Hyundai,Accent,6 CV,wafaa,Diesel,"(['49000', '49', '000', '49000', '49', '000'],)"
2005,200 000 - 249 999,Renault,Scenic,6 CV,toute_la_ville,Diesel,"(['72000', '72', '000', '72000', '72', '000'],)"
2009,190 000 - 199 999,Renault,Kangoo,"Voitures, Offre","
",Diesel,"(['65000', '65', '000', '65000', '65', '000'],)"
2004,180 000 - 189 999,Peugeot,307,7 CV,"Voitures, Offre",Diesel,"(['66000', '66', '000', '66000', '66', '000'],)"
2016,85 000 - 89 999,Fiat,Punto,5 CV,ain_sebaa,Diesel,"(['88000', '88', '000', '88000', '88', '000'],)"
2014,140 000 - 149 999,Volvo,S60,8 CV,laimoune,Diesel,"(['185000', '185', '000', '185000', '185', '000'],)"
2016,90 000 - 94 999,Renault,Clio,6 CV,hay_el_fath,Diesel,"([],)"
2016,40 000 - 44 999,Hyundai,i 10,6 CV,ain_amiyer,Essence,"([],)"
2004,0 - 4 999,Toyota,Hilux,"Voitures, Offre","
",Diesel,"(['105000', '105', '000', '105000', '105', '000'],)"
hay_el_fath,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Meubles et Décoration, Offre","(['700', '700', '700', '700'],)"
2005,200 000 - 249 999,Isuzu,D-MAX,10 CV,"Voitures, Offre",Diesel,"(['95000', '95', '000', '95000', '95', '000'],)"
2012,130 000 - 139 999,Volkswagen,CC,8 CV,"Voitures, Offre",Diesel,"(['175000', '175', '000', '175000', '175', '000'],)"
2010,45 000 - 49 999,Volkswagen,Passat,8 CV,"Voitures, Offre",Diesel,"(['140000', '140', '000', '140000', '140', '000'],)"
2009,100 000 - 109 999,BMW,Serie 5,14 CV,yacoub_el_mansour,Essence,"(['105000', '105', '000', '105000', '105', '000'],)"
2015,65 000 - 69 999,Nissan,Juke,6 CV,centre,Diesel,"(['128000', '128', '000', '128000', '128', '000'],)"
anfa,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(['200', '200', '200', '200'],)"
bourgogne,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(['249', '249', '249', '249'],)"
